"rd_id","rd_id_id","name","name_id"
"34245","sifcbhea","Traditional American","ipsgxfrn"
"34245","sifcbhea","Southern","mbqdomyp"
"34245","sifcbhea","BBQ","ttkxvvno"
"34245","sifcbhea","American","eimkemgr"
"34245","sifcbhea","Wings","ktxeefhg"
"34245","sifcbhea","Bar Food","gdmfeoks"
"34245","sifcbhea","Sandwich","intqqmnk"
"34245","sifcbhea","Family Meals","rahdrcot"
"34246","mzelmiau","Alcohol","bqctdiau"
"34246","mzelmiau","Drinks","xlvjogtb"
"34246","mzelmiau","Wine","yduqrbnh"
"34246","mzelmiau","Liquor Stores","duhwkrid"
"34248","gzaotbcz","Coffee and Tea","fzjugfbl"
"34248","gzaotbcz","Bubble Tea","hozdveen"
"34248","gzaotbcz","Cafe","dfmnogqq"
"34248","gzaotbcz","Desserts","iidscufg"
"34248","gzaotbcz","Healthy","yavgbbkr"
"34248","gzaotbcz","Vegan","ldiryiri"
"34248","gzaotbcz","Vegan Friendly","yliyhxlx"
"34248","gzaotbcz","Juice and Smoothies","nrkaudde"
"34249","sbhrxwxo","Fast Food","ryvbsweh"
"34249","sbhrxwxo","Sandwich","intqqmnk"
"34249","sbhrxwxo","American","eimkemgr"
"34250","mcpxsmbt","BBQ","ttkxvvno"
"34250","mcpxsmbt","Southern","mbqdomyp"
"34250","mcpxsmbt","Sandwich","intqqmnk"
"34251","ieolltwa","Japanese","qfmtdcxm"
"34251","ieolltwa","Asian","xmisadjh"
"34251","ieolltwa","Sushi","lsgvhlcb"
"34252","qivjmizq","Indian","fdwhjqwh"
"34252","qivjmizq","Vegetarian","lqjjvbcx"
"34252","qivjmizq","Pakistani","pkdlizdc"
"34252","qivjmizq","Indian Curry","wkeleuan"
"34252","qivjmizq","Gluten Free","anpqqxwj"
"34252","qivjmizq","Healthy","yavgbbkr"
"34253","osygzynh","Mexican","kqqqgiwa"
"34254","gykgepck","Pastry","ubyikziz"
"34254","gykgepck","Bakery","hnahdmbe"
"34254","gykgepck","Comfort Food","mzieroag"
"34255","anlffsic","Drinks","xlvjogtb"
"34255","anlffsic","Wine","yduqrbnh"
"34255","anlffsic","Liquor Stores","duhwkrid"
"34256","yjvslwpf","Drinks","xlvjogtb"
"34256","yjvslwpf","Wine","yduqrbnh"
"34256","yjvslwpf","Liquor Stores","duhwkrid"
"34257","emlqqcno","Tex Mex","ipzovute"
"34258","nzqyazhi","Mexican","kqqqgiwa"
"34258","nzqyazhi","Latin American","ziwlbfeu"
"34258","nzqyazhi","New Mexican","xixgogkr"
"34259","lfqorejy","Bakery","hnahdmbe"
"34259","lfqorejy","Breakfast and Brunch","dswazbvm"
"34259","lfqorejy","Cafe","dfmnogqq"
"34259","lfqorejy","Coffee &amp; Tea","nuszxokw"
"34260","kffxaiie","Indian","fdwhjqwh"
"34260","kffxaiie","Vegetarian","lqjjvbcx"
"34260","kffxaiie","Chicken","eoycxldk"
"34260","kffxaiie","Fast Food","ryvbsweh"
"34260","kffxaiie","Pakistani","pkdlizdc"
"34261","sjxxltmc","Bakery","hnahdmbe"
"34261","sjxxltmc","Desserts","iidscufg"
"34261","sjxxltmc","Ice Cream + Frozen Yogurt","ffhmzxju"
"34262","bigckyhi","Mexican","kqqqgiwa"
"34262","bigckyhi","Bowls","mirwdcid"
"34262","bigckyhi","Salads","kmsugtzy"
"34263","mncfnhia","Bubble Tea","hozdveen"
"34263","mncfnhia","Desserts","iidscufg"
"34263","mncfnhia","Juice and Smoothies","nrkaudde"
"34264","jypoawip","Fast Food","ryvbsweh"
"34264","jypoawip","Mexican","kqqqgiwa"
"34264","jypoawip","Tex Mex","ipzovute"
"34265","rsagtvte","Healthy","yavgbbkr"
"34265","rsagtvte","Mexican","kqqqgiwa"
"34266","kajannyf","Coffee and Tea","fzjugfbl"
"34266","kajannyf","Bubble Tea","hozdveen"
"34266","kajannyf","Cafe","dfmnogqq"
"34266","kajannyf","Exclusive to Eats","vskgepbi"
"34267","vaasxkft","Juice and Smoothies","nrkaudde"
"34267","vaasxkft","Comfort Food","mzieroag"
"34267","vaasxkft","Drinks","xlvjogtb"
