r_id,r_id_id,position,position_id,name,name_id,score,score_id,ratings,ratings_id,category,category_id,price_range,price_range_id,full_address,full_address_id,zip_code,zip_code_id,lat,lat_id,lng,lng_id
34245,sifcbhea,34,hocvakfw,Mac's Bar-B-Q,rdsciprv,,kfheqdxn,,kfheqdxn,"Traditional American, Southern, BBQ, American, Wings, Bar Food, Sandwich, Family Meals",gxguvhcx,$,ippckvpi,"5412 Slide Rd, Lubbock, TX, 79414",elkgnltp,79414,bbvltflp,33.5442404,iftkzdom,-101.923489,eaommbwk
34246,mzelmiau,12,teazwtkq,19th Street Liquor Beer &amp; Wine,qqpxcvcp,,kfheqdxn,,kfheqdxn,"Alcohol, Drinks, Wine, Liquor Stores",oksjemhr,,kfheqdxn,"7753 19th Street, Lubbock, TX, 79407",autpqcog,79407,euqzmpyx,33.577384,xopztntc,-101.991343,hbftvdwe
34248,gzaotbcz,31,vmzgwudq,Tea2Go (Milwaukee),ouyceuyb,,kfheqdxn,,kfheqdxn,"Coffee and Tea, Bubble Tea, Cafe, Desserts, Healthy, Vegan, Vegan Friendly, Juice and Smoothies",ogkkugvw,$,ippckvpi,"7320 Milwaukee Ave, Lubbock, TX, 79424",dauxlkec,79424,vlbhkipn,33.5258798,kcvkryzg,-101.9580475,vughrypf
34249,sbhrxwxo,67,zhcsxyni,Subway (6315 82Nd St),gbxjblpd,,kfheqdxn,,kfheqdxn,"Fast Food, Sandwich, American",ekuedfbw,$,ippckvpi,"6315 82Nd St, Lubbock, TX, 79424",wtneuvan,79424,vlbhkipn,33.51631,qlwuvsun,-101.95541,paadgomx
34250,mcpxsmbt,139,qnjpaczu,Big Ben's BBQ,kkieqxju,,kfheqdxn,,kfheqdxn,"BBQ, Southern, Sandwich",hnxdnkvd,$,ippckvpi,"10601 University Avenue, Lubbock, TX, 79423",dqremwtl,79423,jphjbnvq,33.4977713,pbvtletp,-101.8698384,tqeclsep
34251,ieolltwa,15,hpgibmde,Ohana Steakhouse &amp; Sushi Bar,qprekwii,,kfheqdxn,,kfheqdxn,"Japanese, Asian, Sushi",vzhsgcak,$,ippckvpi,"5217 82nd St, Lubbock, TX, 79424",xhwnjndl,79424,vlbhkipn,33.51862,eqsbmudh,-101.9242,uawydabg
34252,qivjmizq,12,teazwtkq,Indian Vegan Experiment,ptywovxl,,kfheqdxn,,kfheqdxn,"Indian, Vegetarian, Pakistani, Indian Curry, Gluten Free, Healthy",ejqszqwy,,kfheqdxn,"3806 50th Street #226, Lubbock, TX, 79413",wqjsxipb,79413,ffrghyfc,33.54906,agahubdo,-101.89755,bvdnydzf
34253,osygzynh,121,jhtymlvy,Cantina Laredo,ydqtxqnb,,kfheqdxn,,kfheqdxn,Mexican,kqqqgiwa,$$,hgmexkda,"114 W Loop 289, Lubbock, TX, 79416",yeuuihbd,79416,ypcxxhqq,33.5966987,scticfpl,-101.9255571,nliobuaq
34254,gykgepck,117,asluelpv,Frios Gourmet Pops,ioacaycr,,kfheqdxn,,kfheqdxn,"Pastry, Bakery, Comfort Food",zymnmkty,,kfheqdxn,"4404 19th St, Lubbock, TX, 79407",mkswynll,79407,euqzmpyx,33.57793,mkwxnfvh,-101.90557,mejaygfc
34255,anlffsic,123,mhavvirn,Drinks On Us Liquor (3707 19th St),qyuupvzl,,kfheqdxn,,kfheqdxn,"Drinks, Wine, Liquor Stores",gufphhra,$,ippckvpi,"3707 19th St, Lubbock, TX, 79410",uxswnfmb,79410,ksxbvglz,33.57752,jhgkkbhm,-101.89552,xpoiulec
34256,yjvslwpf,154,gazxlcfn,University Liquor #1 (7301 University Ave),ynidzzkb,,kfheqdxn,,kfheqdxn,"Drinks, Wine, Liquor Stores",gufphhra,$,ippckvpi,"7301 University Ave, Lubbock, TX, 79423",owzepslv,79423,jphjbnvq,33.52788,mdkizabb,-101.86983,dewvaigr
34257,emlqqcno,111,uwolrffj,Texas Taco Company,nvffsqdx,,kfheqdxn,,kfheqdxn,Tex Mex,ipzovute,$,ippckvpi,"4601 S Loop 289, Lubbock, TX, 79424",ziyqqpfg,79424,vlbhkipn,33.5307641,xdshdiro,-101.9099594,jwiwaseh
34258,nzqyazhi,41,ofiwlljl,Josie's 3,iogocxfn,4.3,vadxbehl,78,bwndkixl,"Mexican, Latin American, New Mexican",jqvilnsn,$,ippckvpi,"5101 Aberdeen Ave, Lubbock, TX, 79414",gsgzhnco,79414,bbvltflp,33.54762,nglllequ,-101.923747,fwhbmjuf
